snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-07,seo,KR,6,"Moz","All-in-one",390,1.6,0,-33.3
2026-07,seo,KR,7,"AnswerThePublic","Keyword research",210,0.9,-33.3,-33.3
2026-07,seo,KR,8,"Surfer SEO","Content SEO",210,0.9,-35.3,-57.7
2026-07,seo,KR,9,"Screaming Frog","Crawler",170,0.7,0,-19
2026-07,seo,KR,10,"GTmetrix","Page speed",170,0.7,-35.7,-71.9
2026-07,seo,KR,11,"Rank Math","WordPress plugin",110,0.5,22.2,0
2026-07,seo,KR,12,"SE Ranking","Rank tracking",70,0.3,0,0
2026-07,seo,KR,13,"Mangools","Keyword research",50,0.2,50,-40
2026-07,seo,KR,14,"SpyFu","Competitor research",40,0.2,-40,-57.1
2026-07,seo,KR,15,"Yoast","WordPress plugin",40,0.2,-33.3,-60
2026-07,seo,KR,16,"BrightEdge","Enterprise",30,0.1,-50,-75
2026-07,seo,IT,1,"Google Search Console","Free · Google",74000,63.2,0,49.6
2026-07,seo,IT,2,"Semrush","All-in-one",14800,12.6,-18.2,-33.1
2026-07,seo,IT,3,"AnswerThePublic","Keyword research",6600,5.6,-18.5,-33.3
2026-07,seo,IT,4,"Similarweb","Traffic analytics",5400,4.6,-18.5,-33.3
2026-07,seo,IT,5,"Ubersuggest","Keyword research",5400,4.6,-18.2,-45.5
2026-07,seo,IT,6,"Ahrefs","All-in-one",2900,2.5,-17.2,-33.3
2026-07,seo,IT,7,"GTmetrix","Page speed",2900,2.5,-20.8,-34.5
2026-07,seo,IT,8,"Screaming Frog","Crawler",1600,1.4,-18.7,-18.7
2026-07,seo,IT,9,"Moz","All-in-one",880,0.8,13.6,0
2026-07,seo,IT,10,"SE Ranking","Rank tracking",720,0.6,-18.1,0
2026-07,seo,IT,11,"Rank Math","WordPress plugin",590,0.5,-18.6,-18.6
2026-07,seo,IT,12,"Surfer SEO","Content SEO",480,0.4,-33.3,-45.8
2026-07,seo,IT,13,"Yoast","WordPress plugin",320,0.3,-18.7,-18.7
2026-07,seo,IT,14,"SpyFu","Competitor research",260,0.2,-19.2,-34.4
2026-07,seo,IT,15,"Mangools","Keyword research",110,0.1,-36.4,-36.4
2026-07,seo,IT,16,"BrightEdge","Enterprise",90,0.1,0,-22.2
2026-07,seo,ES,1,"Google Search Console","Free · Google",90500,57.2,0,48.6
2026-07,seo,ES,2,"Semrush","All-in-one",27100,17.1,-18.5,-33.2
